sucursal,producto,semana,y_real,y_pred,fold,Modelo,probabilidad,magnitud
7,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
7,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
7,DIMENHIDRINATO 50MG,2024-08-18,0.0,0.0,1,Cero,,
7,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
7,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
7,LORATADINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
7,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
7,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
7,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
7,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
7,VITAMINA C+ZINC+D3,2024-08-18,1.0,0.0,1,Cero,,
8,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
8,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
8,DIMENHIDRINATO 50MG,2024-08-18,0.0,0.0,1,Cero,,
8,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
8,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
8,LOPERAMIDA 2MG,2024-08-18,0.0,0.0,1,Cero,,
8,LORATADINA 10MG,2024-08-18,4.0,0.0,1,Cero,,
8,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
8,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
8,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
8,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
8,VITAMINA C+ZINC+D3,2024-08-18,0.0,0.0,1,Cero,,
9,AMOXICILINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
9,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
9,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
9,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
9,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
9,LORATADINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
9,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
9,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
9,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
9,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
9,VITAMINA C+ZINC+D3,2024-08-18,0.0,0.0,1,Cero,,
10,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
10,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
10,DIMENHIDRINATO 50MG,2024-08-18,0.0,0.0,1,Cero,,
10,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
10,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
10,LORATADINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
10,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
10,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
10,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
10,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
10,VITAMINA C+ZINC+D3,2024-08-18,0.0,0.0,1,Cero,,
11,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
11,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
11,DIMENHIDRINATO 50MG,2024-08-18,0.0,0.0,1,Cero,,
11,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
11,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
11,LORATADINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
11,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
11,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
11,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
11,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
11,VITAMINA C+ZINC+D3,2024-08-18,0.0,0.0,1,Cero,,
12,AZITROMICINA 500MG,2024-08-18,0.0,0.0,1,Cero,,
12,CETIRIZINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
12,DIMENHIDRINATO 50MG,2024-08-18,0.0,0.0,1,Cero,,
12,ENALAPRIL 10MG,2024-08-18,0.0,0.0,1,Cero,,
12,IBUPROFENO TABX800,2024-08-18,0.0,0.0,1,Cero,,
12,LORATADINA 10MG,2024-08-18,0.0,0.0,1,Cero,,
12,LOSARTAN 50MG,2024-08-18,0.0,0.0,1,Cero,,
12,METFORMINA 850MG,2024-08-18,0.0,0.0,1,Cero,,
12,NAPROXENO TABX550MG,2024-08-18,0.0,0.0,1,Cero,,
12,PARACETAMOL 500MG,2024-08-18,0.0,0.0,1,Cero,,
12,VITAMINA C+ZINC+D3,2024-08-18,0.0,0.0,1,Cero,,
1,AMOXICILINA 500MG,2024-08-25,0.0,0.0,1,Cero,,
1,AZITROMICINA 500MG,2024-08-25,1.0,0.0,1,Cero,,
1,CETIRIZINA 10MG,2024-08-25,0.0,0.0,1,Cero,,
1,DIMENHIDRINATO 50MG,2024-08-25,0.0,0.0,1,Cero,,
1,ENALAPRIL 10MG,2024-08-25,0.0,0.0,1,Cero,,
1,IBUPROFENO TABX800,2024-08-25,0.0,0.0,1,Cero,,
1,LOPERAMIDA 2MG,2024-08-25,0.0,0.0,1,Cero,,
1,LORATADINA 10MG,2024-08-25,0.0,0.0,1,Cero,,
1,LOSARTAN 50MG,2024-08-25,0.0,0.0,1,Cero,,
1,METFORMINA 850MG,2024-08-25,0.0,0.0,1,Cero,,
1,NAPROXENO TABX550MG,2024-08-25,2.0,0.0,1,Cero,,
1,PARACETAMOL 500MG,2024-08-25,0.0,0.0,1,Cero,,
1,VITAMINA C+ZINC+D3,2024-08-25,1.0,0.0,1,Cero,,
2,AZITROMICINA 500MG,2024-08-25,0.0,0.0,1,Cero,,
