,MAE,MAE,RMSE,RMSE,R2,R2,MASE,MASE,RMSSE,RMSSE
,mean,std,mean,std,mean,std,mean,std,mean,std
Modelo,,,,,,,,,,
Cero,0.13670880451284975,0.031813521568212516,0.5558332701262073,0.08785123130601206,-0.06367103795593021,0.009747278839107322,0.6186867058354285,0.20571556117760537,0.6397155713158886,0.14054633790389665
Croston,0.22706739945078605,0.00777427021943558,0.497060586057226,0.03145306953323811,0.1297417135706633,0.1427141121752754,2.3649593792726686,0.25126765404189905,0.8807726782497172,0.13245531592401097
Naive_ultimo,0.19136599170534718,0.030693768030412186,0.6447954623461006,0.07093579748096965,-0.4462878110955668,0.1174364407403182,1.0505355270389904,0.33689617284811724,0.8329925752411027,0.16647480541851528
SBA,0.21543815665839416,0.009902207916509401,0.4883775264356884,0.03635298600337889,0.16260464735598304,0.12043669749675204,2.187104409254898,0.24505919216125135,0.8481278748655479,0.13303653464586393
TSB,0.17058264811415777,0.014327539374318288,0.4679968135349073,0.03709668307785096,0.2315402178214648,0.11057800549257238,0.9496885892672061,0.21504008492645738,0.6203838901027722,0.10760748191291628
TwoStage_basicas,0.1496425191052755,0.006945793586331593,0.5482821356123035,0.029895516919899296,-0.06563586302119347,0.21871623484063552,0.640790555528901,0.17054475671010022,0.6436145331950377,0.12152327163730182
TwoStage_intermitentes,0.15095215747603652,0.004277821368989756,0.5598602834211496,0.022338497027677092,-0.12228968377655425,0.2857197112618,0.643225864677876,0.16232789979635415,0.6426622733580803,0.11729841376340369
