Modelo,MAE,RMSE,R2,MASE,RMSSE,observaciones,series,series_escala_valida,observaciones_escala_valida,R2_estado,MAE_positivas,RMSE_positivas,porcentaje_predicciones_negativas,Poblacion,Protocolo
Cero,0.20092915214866433,0.6854214434699347,-0.09401420783394143,0.7476675798071465,0.6646101779178114,3444,129,92,2418,definido,1.628235294117647,1.9511685789622104,0.0,comun_3444,secuencial una semana con historia observada
Naive_ultimo,0.24274099883855982,0.7225422918630979,-0.21572159807504732,1.2216722176469894,0.8263867409096304,3444,129,92,2418,definido,1.2658823529411765,1.6789352368128334,0.0,comun_3444,secuencial una semana con historia observada
Croston,0.24703853009019464,0.5625943395427032,0.26294770265757617,2.7291554193344787,0.8339697561056233,3444,129,92,2418,definido,1.0016569616192565,1.3605742893354955,0.0,comun_3444,secuencial una semana con historia observada
SBA,0.23925289987661638,0.5601131584919768,0.2694345348971403,2.527652994270629,0.8107832729549974,3444,129,92,2418,definido,1.038588581474977,1.4014966429429803,0.0,comun_3444,secuencial una semana con historia observada
TSB,0.2125615481042942,0.5452682640096626,0.30764627929261257,1.0696657618311456,0.6248520421541028,3444,129,92,2418,definido,1.000081661545243,1.3656058013577954,0.0,comun_3444,secuencial una semana con historia observada
