sucursal,producto,semana,y_real,y_pred,Modelo,error,error_absoluto
9,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
9,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.0,Cero,1.0,1.0
10,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,AZITROMICINA 500MG,2026-01-11,1.0,0.0,Cero,1.0,1.0
10,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
10,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.0,Cero,1.0,1.0
11,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
11,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.0,Cero,1.0,1.0
12,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
12,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.0,Cero,1.0,1.0
13,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,OMEPRAZOL 20MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
13,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
14,VITAMINA C+ZINC+D3,2026-01-11,2.0,0.0,Cero,2.0,2.0
15,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
15,VITAMINA C+ZINC+D3,2026-01-11,2.0,0.0,Cero,2.0,2.0
16,AMOXICILINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,AZITROMICINA 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,ENALAPRIL 10MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,IBUPROFENO TABX800,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,METFORMINA 850MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,PARACETAMOL 500MG,2026-01-11,0.0,0.0,Cero,0.0,0.0
16,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.0,Cero,0.0,0.0
1,AMOXICILINA 500MG,2026-01-18,0.0,0.0,Cero,0.0,0.0
1,AZITROMICINA 500MG,2026-01-18,0.0,0.0,Cero,0.0,0.0
1,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.0,Cero,0.0,0.0
1,ENALAPRIL 10MG,2026-01-18,0.0,0.0,Cero,0.0,0.0
1,IBUPROFENO TABX800,2026-01-18,0.0,0.0,Cero,0.0,0.0
