sucursal,producto,escala_abs,escala_cuadrada,semanas_train_escala
7,LOPERAMIDA 2MG,1.0,1.0,3
7,LORATADINA 10MG,0.0,0.0,96
7,LOSARTAN 50MG,0.20833333333333334,0.20833333333333334,97
7,METFORMINA 850MG,0.11650485436893204,0.11650485436893204,104
7,NAPROXENO TABX550MG,0.020833333333333332,0.020833333333333332,97
7,PARACETAMOL 500MG,0.038834951456310676,0.038834951456310676,104
7,VITAMINA C+ZINC+D3,0.7961165048543689,1.5339805825242718,104
8,AMOXICILINA 500MG,0.0,0.0,71
8,AZITROMICINA 500MG,0.0,0.0,104
8,CETIRIZINA 10MG,0.0,0.0,94
8,DIMENHIDRINATO 50MG,0.0,0.0,101
8,ENALAPRIL 10MG,0.07766990291262135,0.07766990291262135,104
8,IBUPROFENO TABX800,0.0,0.0,103
8,LOPERAMIDA 2MG,0.0,0.0,104
8,LORATADINA 10MG,0.08602150537634409,0.34408602150537637,94
8,LOSARTAN 50MG,0.19148936170212766,0.23404255319148937,95
8,METFORMINA 850MG,0.07766990291262135,0.11650485436893204,104
8,NAPROXENO TABX550MG,0.0,0.0,95
8,OMEPRAZOL 20MG,0.0,0.0,23
8,PARACETAMOL 500MG,0.019417475728155338,0.019417475728155338,104
8,VITAMINA C+ZINC+D3,0.5959595959595959,0.9393939393939394,100
9,AMOXICILINA 500MG,0.07317073170731707,0.12195121951219512,83
9,AZITROMICINA 500MG,0.0,0.0,104
9,CETIRIZINA 10MG,0.16666666666666666,0.2916666666666667,97
9,DIMENHIDRINATO 50MG,0.0,0.0,70
9,ENALAPRIL 10MG,0.17475728155339806,0.17475728155339806,104
9,IBUPROFENO TABX800,0.0,0.0,103
9,LORATADINA 10MG,0.0,0.0,95
9,LOSARTAN 50MG,0.3368421052631579,0.3368421052631579,96
9,METFORMINA 850MG,0.31,0.71,101
9,NAPROXENO TABX550MG,0.14583333333333334,0.14583333333333334,97
9,OMEPRAZOL 20MG,0.0425531914893617,0.0425531914893617,48
9,PARACETAMOL 500MG,0.07766990291262135,0.07766990291262135,104
9,VITAMINA C+ZINC+D3,0.6568627450980392,1.3431372549019607,103
10,AMOXICILINA 500MG,0.05194805194805195,0.05194805194805195,78
10,AZITROMICINA 500MG,0.07766990291262135,0.07766990291262135,104
10,CETIRIZINA 10MG,0.16666666666666666,0.20833333333333334,97
10,DIMENHIDRINATO 50MG,0.020202020202020204,0.020202020202020204,100
10,ENALAPRIL 10MG,0.39805825242718446,0.4368932038834951,104
10,IBUPROFENO TABX800,0.0,0.0,104
10,LOPERAMIDA 2MG,0.0,0.0,5
10,LORATADINA 10MG,0.021052631578947368,0.021052631578947368,96
10,LOSARTAN 50MG,0.3333333333333333,0.4166666666666667,97
10,METFORMINA 850MG,0.17647058823529413,0.21568627450980393,103
10,NAPROXENO TABX550MG,0.20618556701030927,0.3711340206185567,98
10,PARACETAMOL 500MG,0.1941747572815534,0.3106796116504854,104
10,VITAMINA C+ZINC+D3,1.0194174757281553,2.2427184466019416,104
11,AMOXICILINA 500MG,0.0,0.0,77
11,AZITROMICINA 500MG,0.0,0.0,89
11,CETIRIZINA 10MG,0.04395604395604396,0.04395604395604396,92
11,DIMENHIDRINATO 50MG,0.022727272727272728,0.022727272727272728,89
11,ENALAPRIL 10MG,0.11578947368421053,0.11578947368421053,96
11,IBUPROFENO TABX800,0.022727272727272728,0.022727272727272728,89
11,LORATADINA 10MG,0.0,0.0,89
11,LOSARTAN 50MG,0.09523809523809523,0.09523809523809523,85
11,METFORMINA 850MG,0.12359550561797752,0.16853932584269662,90
11,NAPROXENO TABX550MG,0.043478260869565216,0.043478260869565216,93
11,OMEPRAZOL 20MG,0.0,0.0,31
11,PARACETAMOL 500MG,0.02040816326530612,0.02040816326530612,99
11,VITAMINA C+ZINC+D3,0.5104166666666666,0.65625,97
12,AMOXICILINA 500MG,0.0,0.0,76
12,AZITROMICINA 500MG,0.13043478260869565,0.2608695652173913,93
12,CETIRIZINA 10MG,0.11627906976744186,0.11627906976744186,87
12,DIMENHIDRINATO 50MG,0.043478260869565216,0.043478260869565216,93
12,ENALAPRIL 10MG,0.3076923076923077,0.3516483516483517,92
12,IBUPROFENO TABX800,0.0,0.0,93
12,LORATADINA 10MG,0.0,0.0,74
12,LOSARTAN 50MG,0.21686746987951808,0.26506024096385544,84
12,METFORMINA 850MG,0.16279069767441862,0.2558139534883721,87
12,NAPROXENO TABX550MG,0.1411764705882353,0.23529411764705882,86
12,PARACETAMOL 500MG,0.021739130434782608,0.021739130434782608,93
12,VITAMINA C+ZINC+D3,1.2222222222222223,3.488888888888889,91
13,AMOXICILINA 500MG,0.0,0.0,74
13,AZITROMICINA 500MG,0.0273972602739726,0.0273972602739726,74
13,CETIRIZINA 10MG,0.030303030303030304,0.030303030303030304,67
13,DIMENHIDRINATO 50MG,0.031746031746031744,0.031746031746031744,64
13,ENALAPRIL 10MG,0.16901408450704225,0.16901408450704225,72
13,IBUPROFENO TABX800,0.0,0.0,64
13,LORATADINA 10MG,0.0,0.0,67
13,LOSARTAN 50MG,0.12,0.12,51
13,METFORMINA 850MG,0.09090909090909091,0.09090909090909091,34
13,NAPROXENO TABX550MG,0.0,0.0,68
13,OMEPRAZOL 20MG,0.028985507246376812,0.028985507246376812,70
13,PARACETAMOL 500MG,0.0,0.0,9
13,VITAMINA C+ZINC+D3,0.5616438356164384,0.6986301369863014,74
14,AMOXICILINA 500MG,0.0,0.0,33
14,AZITROMICINA 500MG,0.0,0.0,55
14,CETIRIZINA 10MG,0.08333333333333333,0.08333333333333333,49
14,DIMENHIDRINATO 50MG,0.0,0.0,34
14,ENALAPRIL 10MG,0.16666666666666666,0.16666666666666666,61
14,IBUPROFENO TABX800,0.0,0.0,35
14,LORATADINA 10MG,0.0,0.0,52
14,LOSARTAN 50MG,0.15789473684210525,0.15789473684210525,39
14,METFORMINA 850MG,0.48333333333333334,0.55,61
14,NAPROXENO TABX550MG,0.0,0.0,55
14,OMEPRAZOL 20MG,0.06451612903225806,0.06451612903225806,32
14,PARACETAMOL 500MG,0.0,0.0,2
14,VITAMINA C+ZINC+D3,1.0,1.8135593220338984,60
15,AMOXICILINA 500MG,0.0,0.0,53
15,AZITROMICINA 500MG,0.044444444444444446,0.044444444444444446,46
15,CETIRIZINA 10MG,0.08333333333333333,0.08333333333333333,49
15,DIMENHIDRINATO 50MG,0.13333333333333333,0.13333333333333333,16
15,ENALAPRIL 10MG,0.24444444444444444,0.24444444444444444,46
15,IBUPROFENO TABX800,0.08333333333333333,0.08333333333333333,49
15,LORATADINA 10MG,0.0,0.0,49
15,LOSARTAN 50MG,0.27906976744186046,0.27906976744186046,44
15,METFORMINA 850MG,0.1875,0.1875,49
15,NAPROXENO TABX550MG,0.0,0.0,49
15,OMEPRAZOL 20MG,0.25,0.25,9
15,PARACETAMOL 500MG,0.0,0.0,7
15,VITAMINA C+ZINC+D3,1.4074074074074074,3.7037037037037037,55
16,AMOXICILINA 500MG,0.0,0.0,18
16,AZITROMICINA 500MG,0.0,0.0,24
16,CETIRIZINA 10MG,0.08333333333333333,0.08333333333333333,25
16,DIMENHIDRINATO 50MG,0.12903225806451613,0.25806451612903225,32
16,ENALAPRIL 10MG,0.3333333333333333,0.3333333333333333,13
16,IBUPROFENO TABX800,0.0,0.0,30
16,LOPERAMIDA 2MG,0.0,0.0,6
16,LORATADINA 10MG,0.38095238095238093,1.5238095238095237,22
16,LOSARTAN 50MG,0.05555555555555555,0.05555555555555555,19
16,METFORMINA 850MG,0.06896551724137931,0.06896551724137931,30
16,NAPROXENO TABX550MG,0.0,0.0,25
16,PARACETAMOL 500MG,0.0,0.0,10
16,VITAMINA C+ZINC+D3,1.1935483870967742,2.3548387096774195,32
17,AMOXICILINA 500MG,0.0,0.0,4
17,AZITROMICINA 500MG,,,1
17,ENALAPRIL 10MG,0.0,0.0,4
17,IBUPROFENO TABX800,0.0,0.0,2
17,METFORMINA 850MG,0.0,0.0,3
17,PARACETAMOL 500MG,0.0,0.0,4
18,PARACETAMOL 500MG,,,1
