mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_modelo__learning_rate,param_modelo__max_depth,param_modelo__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.045911947886149086,0.009448674093860484,0.008918126424153646,0.00030417584805313423,0.05,3,100,"{'modelo__learning_rate': 0.05, 'modelo__max_depth': 3, 'modelo__n_estimators': 100}",-0.21220303577464775,-0.27769528606338567,-0.20843158256151,-0.2327766347998478,0.031799579539528715,1
0.07470377286275227,0.013178815914210495,0.009846925735473633,0.0004692029581237375,0.05,3,200,"{'modelo__learning_rate': 0.05, 'modelo__max_depth': 3, 'modelo__n_estimators': 200}",-0.2346590356930325,-0.2871485866062724,-0.2092283763328682,-0.24367866621072434,0.03244384988735297,2
0.08495926856994629,0.02827587181452101,0.009349981943766275,0.0006314885727259681,0.05,5,100,"{'modelo__learning_rate': 0.05, 'modelo__max_depth': 5, 'modelo__n_estimators': 100}",-0.2209810389705136,-0.3011881810991762,-0.23443923441401662,-0.25220281816123546,0.03507092901317001,4
0.09156425793965657,0.01118151429819666,0.010517120361328125,0.0008092372163063355,0.05,5,200,"{'modelo__learning_rate': 0.05, 'modelo__max_depth': 5, 'modelo__n_estimators': 200}",-0.26297594019052917,-0.31207376171394874,-0.25348421798478993,-0.27617797329642263,0.025676239563645648,7
0.04163750012715658,0.009329792133731847,0.008218765258789062,0.0005045943589464076,0.1,3,100,"{'modelo__learning_rate': 0.1, 'modelo__max_depth': 3, 'modelo__n_estimators': 100}",-0.23804918651980145,-0.2858977099050659,-0.20964831026641384,-0.2445317355637604,0.03146437475298287,3
0.0679165522257487,0.016689015779260893,0.00951083501180013,0.0008200399624668576,0.1,3,200,"{'modelo__learning_rate': 0.1, 'modelo__max_depth': 3, 'modelo__n_estimators': 200}",-0.2820228497878781,-0.2989232066742565,-0.2125736412844212,-0.2645065659155186,0.03736466255056304,5
0.06156301498413086,0.005150228396779418,0.010020017623901367,0.0010878881183281903,0.1,5,100,"{'modelo__learning_rate': 0.1, 'modelo__max_depth': 5, 'modelo__n_estimators': 100}",-0.24961774616804142,-0.3136981262675243,-0.2500416382483341,-0.27111917022796655,0.030108365882678675,6
0.10865267117818196,0.01571302913382839,0.01051481564839681,0.0008214014827711091,0.1,5,200,"{'modelo__learning_rate': 0.1, 'modelo__max_depth': 5, 'modelo__n_estimators': 200}",-0.28497404692077055,-0.33000095398182355,-0.27290619464964466,-0.2959603985174129,0.024569328126122916,8
