sucursal,producto,semanas,semanas_train,semanas_test,estado,motivo,orden,aic
5,OMEPRAZOL 20MG,39,39.0,0.0,descartada,menos_de_2_semanas_test,,
5,PARACETAMOL 500MG,128,104.0,23.0,modelada,,"(0, 0, 0)",367.84522226932154
5,VITAMINA C+ZINC+D3,134,104.0,29.0,modelada,,"(0, 0, 0)",402.42244096182515
6,AMOXICILINA 500MG,95,73.0,21.0,modelada,,"(0, 0, 0)",-103.0454254707462
6,AZITROMICINA 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-184.882276961947
6,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
6,DIMENHIDRINATO 50MG,129,104.0,24.0,modelada,,"(0, 0, 0)",-2208.6955095894496
6,ENALAPRIL 10MG,135,104.0,30.0,modelada,,"(3, 0, 2)",363.2856157092372
6,IBUPROFENO TABX800,134,104.0,29.0,modelada,,"(0, 0, 0)",-2208.6955095894496
6,LOPERAMIDA 2MG,133,102.0,30.0,modelada,,"(0, 0, 0)",-2166.1436728665767
6,LORATADINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
6,LOSARTAN 50MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
6,METFORMINA 850MG,134,104.0,29.0,modelada,,"(0, 0, 0)",176.52784061570225
6,NAPROXENO TABX550MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
6,OMEPRAZOL 20MG,26,26.0,0.0,descartada,menos_de_2_semanas_test,,
6,PARACETAMOL 500MG,105,104.0,0.0,descartada,menos_de_2_semanas_test,,
6,VITAMINA C+ZINC+D3,131,104.0,26.0,modelada,,"(0, 0, 0)",350.84972316009834
7,AMOXICILINA 500MG,100,76.0,23.0,modelada,,"(0, 0, 0)",-110.46371362239708
7,AZITROMICINA 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-184.8822769619469
7,CETIRIZINA 10MG,98,98.0,0.0,descartada,menos_de_2_semanas_test,,
7,DIMENHIDRINATO 50MG,132,101.0,30.0,modelada,,"(0, 0, 0)",-2144.867754505131
7,ENALAPRIL 10MG,134,104.0,29.0,modelada,,"(0, 0, 0)",68.9900298068993
7,IBUPROFENO TABX800,135,104.0,30.0,modelada,,"(0, 0, 0)",-2208.6955095894496
7,LOPERAMIDA 2MG,3,,,descartada,menos_de_20_semanas,,
7,LORATADINA 10MG,96,96.0,0.0,descartada,menos_de_2_semanas_test,,
7,LOSARTAN 50MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
7,METFORMINA 850MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-3.7144894880246557
7,NAPROXENO TABX550MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
7,PARACETAMOL 500MG,135,104.0,30.0,modelada,,"(0, 0, 2)",-174.9910542941672
7,VITAMINA C+ZINC+D3,134,104.0,29.0,modelada,,"(1, 0, 0)",288.1666214452379
8,AMOXICILINA 500MG,102,71.0,30.0,modelada,,"(0, 0, 0)",-1506.5902036620212
8,AZITROMICINA 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-2208.6955095894496
8,CETIRIZINA 10MG,94,94.0,0.0,descartada,menos_de_2_semanas_test,,
8,DIMENHIDRINATO 50MG,132,101.0,30.0,modelada,,"(0, 0, 0)",-2144.867754505131
8,ENALAPRIL 10MG,133,104.0,28.0,modelada,,"(0, 0, 2)",-45.55855648854794
8,IBUPROFENO TABX800,131,103.0,27.0,modelada,,"(0, 0, 0)",-2187.419591228014
8,LOPERAMIDA 2MG,134,104.0,29.0,modelada,,"(0, 0, 0)",-2208.6955095894496
8,LORATADINA 10MG,94,94.0,0.0,descartada,menos_de_2_semanas_test,,
8,LOSARTAN 50MG,95,95.0,0.0,descartada,menos_de_2_semanas_test,,
8,METFORMINA 850MG,135,104.0,30.0,modelada,,"(0, 0, 3)",-11.500342632093965
8,NAPROXENO TABX550MG,95,95.0,0.0,descartada,menos_de_2_semanas_test,,
8,OMEPRAZOL 20MG,23,23.0,0.0,descartada,menos_de_2_semanas_test,,
8,PARACETAMOL 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-184.8822769619469
8,VITAMINA C+ZINC+D3,130,100.0,29.0,modelada,,"(2, 0, 2)",206.69134158836914
9,AMOXICILINA 500MG,104,83.0,20.0,modelada,,"(0, 0, 0)",4.543567932842011
9,AZITROMICINA 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-2208.6955095894496
9,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
9,DIMENHIDRINATO 50MG,101,70.0,30.0,modelada,,"(0, 0, 0)",-1485.3142853005886
9,ENALAPRIL 10MG,134,104.0,29.0,modelada,,"(1, 0, 0)",61.42275789158017
9,IBUPROFENO TABX800,103,103.0,0.0,descartada,menos_de_2_semanas_test,,
9,LOPERAMIDA 2MG,27,0.0,27.0,descartada,menos_de_10_semanas_train,,
9,LORATADINA 10MG,95,95.0,0.0,descartada,menos_de_2_semanas_test,,
9,LOSARTAN 50MG,96,96.0,0.0,descartada,menos_de_2_semanas_test,,
9,METFORMINA 850MG,132,101.0,30.0,modelada,,"(3, 0, 1)",178.1147558572728
9,NAPROXENO TABX550MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
9,OMEPRAZOL 20MG,48,48.0,0.0,descartada,menos_de_2_semanas_test,,
9,PARACETAMOL 500MG,133,104.0,28.0,modelada,,"(3, 2, 2)",-17.907117993351886
9,VITAMINA C+ZINC+D3,131,103.0,27.0,modelada,,"(2, 0, 1)",263.5059249178134
10,AMOXICILINA 500MG,104,78.0,25.0,modelada,,"(0, 0, 0)",-62.429484945017975
10,AZITROMICINA 500MG,133,104.0,28.0,modelada,,"(0, 0, 0)",-43.781779003113854
10,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
10,DIMENHIDRINATO 50MG,131,100.0,30.0,modelada,,"(0, 0, 0)",-173.73434516848968
10,ENALAPRIL 10MG,134,104.0,29.0,modelada,,"(2, 0, 3)",134.40519000156434
10,IBUPROFENO TABX800,133,104.0,28.0,modelada,,"(0, 0, 0)",-2208.6955095894496
10,LOPERAMIDA 2MG,35,5.0,29.0,descartada,menos_de_10_semanas_train,,
10,LORATADINA 10MG,96,96.0,0.0,descartada,menos_de_2_semanas_test,,
10,LOSARTAN 50MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
10,METFORMINA 850MG,110,103.0,6.0,modelada,,"(3, 0, 2)",60.86742593513091
