sucursal,producto,semana,y_real,y_pred,error,error_absoluto
1,AMOXICILINA 500MG,2026-01-04,0.0,0.08681316231124511,-0.08681316231124511,0.08681316231124511
1,AZITROMICINA 500MG,2026-01-04,0.0,0.08845222116534016,-0.08845222116534016,0.08845222116534016
1,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.13422700971472448,-0.13422700971472448,0.13422700971472448
1,ENALAPRIL 10MG,2026-01-04,0.0,0.22306361889340373,-0.22306361889340373,0.22306361889340373
1,IBUPROFENO TABX800,2026-01-04,0.0,0.07821139248497411,-0.07821139248497411,0.07821139248497411
1,LOPERAMIDA 2MG,2026-01-04,0.0,0.1296678416774283,-0.1296678416774283,0.1296678416774283
1,METFORMINA 850MG,2026-01-04,0.0,0.28316184152573703,-0.28316184152573703,0.28316184152573703
1,PARACETAMOL 500MG,2026-01-04,0.0,0.19105253573360143,-0.19105253573360143,0.19105253573360143
1,VITAMINA C+ZINC+D3,2026-01-04,0.0,0.932736169680069,-0.932736169680069,0.932736169680069
2,AMOXICILINA 500MG,2026-01-04,0.0,0.14086873296818525,-0.14086873296818525,0.14086873296818525
2,AZITROMICINA 500MG,2026-01-04,0.0,0.08704422234116513,-0.08704422234116513,0.08704422234116513
2,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.07980670698885801,-0.07980670698885801,0.07980670698885801
2,ENALAPRIL 10MG,2026-01-04,1.0,0.16864331616753725,0.8313566838324628,0.8313566838324628
2,IBUPROFENO TABX800,2026-01-04,0.0,0.0768033936607991,-0.0768033936607991,0.0768033936607991
2,METFORMINA 850MG,2026-01-04,0.0,0.15763234587575947,-0.15763234587575947,0.15763234587575947
2,PARACETAMOL 500MG,2026-01-04,0.0,0.3773746832718124,-0.3773746832718124,0.3773746832718124
2,VITAMINA C+ZINC+D3,2026-01-04,1.0,0.7204382278794902,0.2795617721205098,0.2795617721205098
3,AMOXICILINA 500MG,2026-01-04,3.0,0.05762026525804029,2.9423797347419596,2.9423797347419596
3,AZITROMICINA 500MG,2026-01-04,0.0,0.05925932411213533,-0.05925932411213533,0.05925932411213533
3,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.10503411266151966,-0.10503411266151966,0.10503411266151966
3,ENALAPRIL 10MG,2026-01-04,0.0,0.19387072184019888,-0.19387072184019888,0.19387072184019888
3,IBUPROFENO TABX800,2026-01-04,0.0,0.04901849543176928,-0.04901849543176928,0.04901849543176928
3,LOPERAMIDA 2MG,2026-01-04,0.0,0.04565918237680522,-0.04565918237680522,0.04565918237680522
3,LORATADINA 10MG,2026-01-04,0.0,0.04679070812716504,-0.04679070812716504,0.04679070812716504
3,LOSARTAN 50MG,2026-01-04,0.0,0.1530136173327617,-0.1530136173327617,0.1530136173327617
3,METFORMINA 850MG,2026-01-04,0.0,0.34911049663640276,-0.34911049663640276,0.34911049663640276
3,PARACETAMOL 500MG,2026-01-04,0.0,0.1302913485008219,-0.1302913485008219,0.1302913485008219
3,VITAMINA C+ZINC+D3,2026-01-04,2.0,0.9597069372432144,1.0402930627567857,1.0402930627567857
4,AMOXICILINA 500MG,2026-01-04,0.0,0.055825023034663024,-0.055825023034663024,0.055825023034663024
4,AZITROMICINA 500MG,2026-01-04,0.0,0.05746408188875805,-0.05746408188875805,0.05746408188875805
4,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.05022656653645094,-0.05022656653645094,0.05022656653645094
4,ENALAPRIL 10MG,2026-01-04,0.0,0.2565076744433647,-0.2565076744433647,0.2565076744433647
4,IBUPROFENO TABX800,2026-01-04,0.0,0.04722325320839202,-0.04722325320839202,0.04722325320839202
4,LOPERAMIDA 2MG,2026-01-04,0.0,0.043863940153427955,-0.043863940153427955,0.043863940153427955
4,METFORMINA 850MG,2026-01-04,0.0,0.12805220542335238,-0.12805220542335238,0.12805220542335238
4,PARACETAMOL 500MG,2026-01-04,0.0,0.23691969175871316,-0.23691969175871316,0.23691969175871316
4,VITAMINA C+ZINC+D3,2026-01-04,0.0,1.027112853795145,-1.027112853795145,1.027112853795145
5,AMOXICILINA 500MG,2026-01-04,0.0,0.1140119442940806,-0.1140119442940806,0.1140119442940806
5,AZITROMICINA 500MG,2026-01-04,0.0,0.11565100314817563,-0.11565100314817563,0.11565100314817563
5,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.14062958520914004,-0.14062958520914004,0.14062958520914004
5,ENALAPRIL 10MG,2026-01-04,0.0,0.4047732402750545,-0.4047732402750545,0.4047732402750545
5,IBUPROFENO TABX800,2026-01-04,0.0,0.10541017446780959,-0.10541017446780959,0.10541017446780959
5,METFORMINA 850MG,2026-01-04,0.0,0.27391879357715665,-0.27391879357715665,0.27391879357715665
5,PARACETAMOL 500MG,2026-01-04,0.0,0.29691007136385755,-0.29691007136385755,0.29691007136385755
5,VITAMINA C+ZINC+D3,2026-01-04,1.0,0.8367246755808873,0.16327532441911274,0.16327532441911274
6,AMOXICILINA 500MG,2026-01-04,0.0,0.047305114956736435,-0.047305114956736435,0.047305114956736435
6,AZITROMICINA 500MG,2026-01-04,0.0,0.048944173810831465,-0.048944173810831465,0.048944173810831465
6,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.04170665845852435,-0.04170665845852435,0.04170665845852435
6,ENALAPRIL 10MG,2026-01-04,0.0,0.35196086393651754,-0.35196086393651754,0.35196086393651754
6,IBUPROFENO TABX800,2026-01-04,0.0,0.03870334513046543,-0.03870334513046543,0.03870334513046543
6,LOPERAMIDA 2MG,2026-01-04,0.0,0.035344032075501366,-0.035344032075501366,0.035344032075501366
6,METFORMINA 850MG,2026-01-04,0.0,0.11953229734542581,-0.11953229734542581,0.11953229734542581
6,PARACETAMOL 500MG,2026-01-04,0.0,0.06451262871840294,-0.06451262871840294,0.06451262871840294
6,VITAMINA C+ZINC+D3,2026-01-04,0.0,0.5534737896960702,-0.5534737896960702,0.5534737896960702
7,AMOXICILINA 500MG,2026-01-04,0.0,0.015222896015109483,-0.015222896015109483,0.015222896015109483
7,AZITROMICINA 500MG,2026-01-04,0.0,0.0168619548692045,-0.0168619548692045,0.0168619548692045
7,DIMENHIDRINATO 50MG,2026-01-04,0.0,0.009624439516897398,-0.009624439516897398,0.009624439516897398
7,ENALAPRIL 10MG,2026-01-04,0.0,0.2093358997562688,-0.2093358997562688,0.2093358997562688
7,IBUPROFENO TABX800,2026-01-04,0.0,0.006621126188838478,-0.006621126188838478,0.006621126188838478
7,METFORMINA 850MG,2026-01-04,0.0,0.08745007840379884,-0.08745007840379884,0.08745007840379884
7,PARACETAMOL 500MG,2026-01-04,0.0,0.03243040977677597,-0.03243040977677597,0.03243040977677597
7,VITAMINA C+ZINC+D3,2026-01-04,0.0,0.5213915707544433,-0.5213915707544433,0.5213915707544433
8,AMOXICILINA 500MG,2026-01-04,0.0,0.0012998851332812894,-0.0012998851332812894,0.0012998851332812894
8,AZITROMICINA 500MG,2026-01-04,0.0,0.002938943987376319,-0.002938943987376319,0.002938943987376319
8,DIMENHIDRINATO 50MG,2026-01-04,0.0,-0.004298571364930795,0.004298571364930795,0.004298571364930795
8,ENALAPRIL 10MG,2026-01-04,1.0,0.08453803781374841,0.9154619621862516,0.9154619621862516
8,IBUPROFENO TABX800,2026-01-04,0.0,-0.007301884692989716,0.007301884692989716,0.007301884692989716
8,LOPERAMIDA 2MG,2026-01-04,0.0,-0.01066119774795378,0.01066119774795378,0.01066119774795378
8,METFORMINA 850MG,2026-01-04,0.0,0.18440191858266286,-0.18440191858266286,0.18440191858266286
8,PARACETAMOL 500MG,2026-01-04,0.0,0.018507398894947777,-0.018507398894947777,0.018507398894947777
8,VITAMINA C+ZINC+D3,2026-01-04,0.0,0.5396846572858867,-0.5396846572858867,0.5396846572858867
