Modelo,MAE_global,RMSE_global,R2_global,MAE_menor_intermitencia,RMSE_menor_intermitencia,Series_menor_intermitencia,MAE_mayor_intermitencia,RMSE_mayor_intermitencia,Series_mayor_intermitencia,MAE_demanda_positiva,RMSE_demanda_positiva,Predicciones_negativas,Porcentaje_predicciones_negativas,Series_cubiertas,Observaciones_cubiertas,Observaciones_metricas_comunes,Series_metricas_comunes,Criterio_cobertura
Regresión Lineal,0.23059090596656548,0.539644857287217,0.3218532683231031,0.8246023572143802,1.047635564062954,1,0.30745899821348616,0.6336380201700185,91,0.9786595263818504,1.3637863760256992,684.0,19.860627177700348,156,3940,3444,129,"propia, sólo cobertura; todas las métricas son comunes"
Random Forest,0.22703005641196106,0.5486983586714412,0.2989081641123271,0.8666044158989374,1.1091041038929124,1,0.3030115794475889,0.6433172655647379,91,0.9793762551374675,1.3478838168095357,0.0,0.0,156,3940,3444,129,"propia, sólo cobertura; todas las métricas son comunes"
XGBoost,0.22518463106609612,0.5488974093470322,0.298399403281957,0.9024817923704783,1.1101536249989887,1,0.2972196036391272,0.6438965135707694,91,1.0006496992400464,1.369231631788796,0.0,0.0,156,3940,3444,129,"propia, sólo cobertura; todas las métricas son comunes"
