sucursal,producto,Modelo,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,clasificacion_demanda,grupo_demanda,porcentaje_ceros
1,AMOXICILINA 500MG,ARIMA (Optimizado ADF/AIC),0.20975211100160518,0.7037560258939107,-0.07667944343911093,20,1,0.4599999999999998,9.199999999999996,90.0,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.78048780487805
1,AMOXICILINA 500MG,Random Forest,0.24603705436127243,0.6999571761372114,-0.06508706179560741,20,1,0.4599999999999998,9.199999999999996,90.0,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.78048780487805
1,AMOXICILINA 500MG,Regresión Lineal,0.31601050403574604,0.6890944866020567,-0.03228524231598362,20,1,0.4599999999999998,9.199999999999996,90.0,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.78048780487805
1,AMOXICILINA 500MG,XGBoost,0.2640338834375143,0.6915766765115104,-0.03973543368414467,20,1,0.4599999999999998,9.199999999999996,90.0,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.78048780487805
1,AZITROMICINA 500MG,ARIMA (Optimizado ADF/AIC),0.12499494298706418,0.12499494298706418,,16,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,lumpy,mayor_intermitencia,93.26923076923077
1,AZITROMICINA 500MG,Random Forest,0.01447557200414739,0.014539381159009537,,16,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,lumpy,mayor_intermitencia,93.26923076923077
1,AZITROMICINA 500MG,Regresión Lineal,0.07263542538899305,0.07311962046358109,,16,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,lumpy,mayor_intermitencia,93.26923076923077
1,AZITROMICINA 500MG,XGBoost,0.028878463432192802,0.028878463432192802,,16,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,lumpy,mayor_intermitencia,93.26923076923077
1,DIMENHIDRINATO 50MG,ARIMA (Optimizado ADF/AIC),0.02884118337914209,0.02884118337914209,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,98.07692307692307
1,DIMENHIDRINATO 50MG,Random Forest,0.007317699855498814,0.0073403274465407425,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,98.07692307692307
1,DIMENHIDRINATO 50MG,Regresión Lineal,0.058090211259574205,0.05904191287291133,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,98.07692307692307
1,DIMENHIDRINATO 50MG,XGBoost,0.028878463432192802,0.028878463432192802,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,98.07692307692307
1,ENALAPRIL 10MG,ARIMA (Optimizado ADF/AIC),0.5506483122253939,0.6981048777273706,-0.06734818614055849,29,1,0.45659928656361454,13.241379310344822,55.172413793103445,definido,una_sola_serie,intermitente,mayor_intermitencia,75.0
1,ENALAPRIL 10MG,Random Forest,0.5196576849161858,0.7562644236308228,-0.25259915045876236,29,1,0.45659928656361454,13.241379310344822,55.172413793103445,definido,una_sola_serie,intermitente,mayor_intermitencia,75.0
1,ENALAPRIL 10MG,Regresión Lineal,0.5308189902543166,0.7029507061410507,-0.08221740551352585,29,1,0.45659928656361454,13.241379310344822,55.172413793103445,definido,una_sola_serie,intermitente,mayor_intermitencia,75.0
1,ENALAPRIL 10MG,XGBoost,0.4997156773661745,0.7219643764166913,-0.14155360324270383,29,1,0.45659928656361454,13.241379310344822,55.172413793103445,definido,una_sola_serie,intermitente,mayor_intermitencia,75.0
1,IBUPROFENO TABX800,ARIMA (Optimizado ADF/AIC),4.824558165895671e-06,4.824558165895671e-06,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
1,IBUPROFENO TABX800,Random Forest,0.007098891858645746,0.007124554176782891,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
1,IBUPROFENO TABX800,Regresión Lineal,0.05495901492279533,0.05598135730626766,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
1,IBUPROFENO TABX800,XGBoost,0.028878463432192802,0.028878463432192802,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
1,LOPERAMIDA 2MG,ARIMA (Optimizado ADF/AIC),0.009896006141633438,0.009896006141633436,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,99.00990099009901
1,LOPERAMIDA 2MG,Random Forest,0.011705039338510062,0.016215019129883677,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,99.00990099009901
1,LOPERAMIDA 2MG,Regresión Lineal,0.05653612814823274,0.06024510807936932,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,99.00990099009901
1,LOPERAMIDA 2MG,XGBoost,0.03396698859121118,0.03622118870310982,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,positivas_insuficientes,mayor_intermitencia,99.00990099009901
