Modelo,MAE,RMSE,R2,Observaciones_evaluadas,Series_evaluadas,Poblacion,Protocolo
Regresión Lineal,0.23059090596656548,0.539644857287217,0.3218532683231031,3444,129,comun,"Secuencial semanal, parámetros fijos"
Random Forest,0.22703005641196106,0.5486983586714412,0.2989081641123271,3444,129,comun,"Secuencial semanal, parámetros fijos"
XGBoost,0.22518463106609612,0.5488974093470322,0.298399403281957,3444,129,comun,"Secuencial semanal, parámetros fijos"
ARIMA (Optimizado ADF/AIC),0.23633302823110328,0.5796836321886407,0.21749041943698,3444,129,comun,Multi-step desde origen fijo
