Modelo,N_anterior_propia,N_nueva_propia,N_comun,MAE_anterior_propia,MAE_nueva_propia,MAE_nueva_comun,delta_MAE_propia,RMSE_anterior_propia,RMSE_nueva_propia,RMSE_nueva_comun,delta_RMSE_propia,R2_anterior_propia,R2_nueva_propia,R2_nueva_comun,delta_R2_propia
Regresión Lineal,3940,3940,3444,0.2126215300544203,0.2174062426115464,0.2305909059665654,0.004784712557126092,0.5064960158764832,0.5150146873859537,0.539644857287217,0.008518671509470499,0.3264717721544334,0.3250034500819231,0.3218532683231031,-0.0014683220725102974
Random Forest,3940,3940,3444,0.2071970930770739,0.2106227219007181,0.227030056411961,0.0034256288236441945,0.5174821700338345,0.5233093954133384,0.5486983586714412,0.005827225379503975,0.2969365577124059,0.3030856806237206,0.2989081641123271,0.006149122911314697
XGBoost,3940,3940,3444,0.205574515252965,0.2103314181038079,0.2251846310660961,0.004756902850842903,0.5140151778144718,0.5237875002718277,0.5488974093470322,0.00977232245735593,0.3063256739900365,0.3018116720434834,0.298399403281957,-0.004514001946553103
ARIMA (Optimizado ADF/AIC),3444,3444,3444,0.2312994058151695,0.2363330282311032,0.2363330282311032,0.005033622415933692,0.5730058393911165,0.5796836321886407,0.5796836321886407,0.006677792797524229,0.2102991350586225,0.21749041943698,0.21749041943698,0.007191284378357504
