Modelo,intervalo_ceros,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,limite_inferior,limite_superior,inferior_inclusivo
Regresión Lineal,Q1,0.6312778645378626,0.9636150284166496,0.20478582305679982,900,33,1.1676777777777776,1050.9099999999999,61.22222222222222,definido,,18.181818181818183,88.46153846153845,True
Random Forest,Q1,0.6434630440870266,0.981516168060135,0.17496589684453845,900,33,1.1676777777777776,1050.9099999999999,61.22222222222222,definido,,18.181818181818183,88.46153846153845,True
XGBoost,Q1,0.625899694338441,0.9846655218544069,0.16966289126953737,900,33,1.1676777777777776,1050.9099999999999,61.22222222222222,definido,,18.181818181818183,88.46153846153845,True
ARIMA (Optimizado ADF/AIC),Q1,0.6375397326216887,0.9712732318007777,0.19209587716221688,900,33,1.1676777777777776,1050.9099999999999,61.22222222222222,definido,,18.181818181818183,88.46153846153845,True
Regresión Lineal,Q2,0.18410575323364806,0.39740259527107363,0.04678766657009403,817,32,0.1656806329392694,135.3610771113831,92.77845777233782,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,88.46153846153845,97.11538461538461,False
Random Forest,Q2,0.1780738658076636,0.4020232068097734,0.024492748812367515,817,32,0.1656806329392694,135.3610771113831,92.77845777233782,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,88.46153846153845,97.11538461538461,False
XGBoost,Q2,0.1656533681617701,0.3963106052089171,0.05201897762770158,817,32,0.1656806329392694,135.3610771113831,92.77845777233782,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,88.46153846153845,97.11538461538461,False
ARIMA (Optimizado ADF/AIC),Q2,0.25468459729269605,0.5775226609307748,-1.013104476796752,817,32,0.1656806329392694,135.3610771113831,92.77845777233782,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,88.46153846153845,97.11538461538461,False
Regresión Lineal,Q3,0.04376989095129403,0.14877125583881093,-0.07009428139044305,1727,64,0.02068311825299939,35.719745222929944,99.01563404748119,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,97.11538461538461,100.0,False
Random Forest,Q3,0.03317222133156276,0.14794949657774614,-0.05830529371141835,1727,64,0.02068311825299939,35.719745222929944,99.01563404748119,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,97.11538461538461,100.0,False
XGBoost,Q3,0.044520754313185924,0.1457918284471607,-0.027662124345490202,1727,64,0.02068311825299939,35.719745222929944,99.01563404748119,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,97.11538461538461,100.0,False
ARIMA (Optimizado ADF/AIC),Q3,0.018568543069060327,0.14391243114353255,-0.001337785932669755,1727,64,0.02068311825299939,35.719745222929944,99.01563404748119,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global,97.11538461538461,100.0,False
