sucursal,producto,semana,cantidad
15,AZITROMICINA 500MG,2026-01-04,0.0
15,DIMENHIDRINATO 50MG,2026-01-04,0.0
15,ENALAPRIL 10MG,2026-01-04,0.0
15,IBUPROFENO TABX800,2026-01-04,0.0
15,METFORMINA 850MG,2026-01-04,0.0
15,PARACETAMOL 500MG,2026-01-04,0.0
15,VITAMINA C+ZINC+D3,2026-01-04,1.0
16,AMOXICILINA 500MG,2026-01-04,0.0
16,AZITROMICINA 500MG,2026-01-04,0.0
16,DIMENHIDRINATO 50MG,2026-01-04,0.0
16,ENALAPRIL 10MG,2026-01-04,0.0
16,IBUPROFENO TABX800,2026-01-04,0.0
16,LOPERAMIDA 2MG,2026-01-04,0.0
16,METFORMINA 850MG,2026-01-04,0.0
16,PARACETAMOL 500MG,2026-01-04,0.0
16,VITAMINA C+ZINC+D3,2026-01-04,3.0
17,AMOXICILINA 500MG,2026-01-04,0.0
17,AZITROMICINA 500MG,2026-01-04,0.0
17,ENALAPRIL 10MG,2026-01-04,0.0
17,IBUPROFENO TABX800,2026-01-04,0.0
17,METFORMINA 850MG,2026-01-04,0.0
17,PARACETAMOL 500MG,2026-01-04,0.0
18,LOPERAMIDA 2MG,2026-01-04,0.0
18,PARACETAMOL 500MG,2026-01-04,0.0
