sucursal,producto,semana,y_real,y_pred,error,error_absoluto
1,AMOXICILINA 500MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
1,AZITROMICINA 500MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
1,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
1,ENALAPRIL 10MG,2026-01-11,1.0,0.0865369662642479,0.9134630337357521,0.9134630337357521
1,IBUPROFENO TABX800,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
1,LOPERAMIDA 2MG,2026-01-11,0.0,0.06191501021385193,-0.06191501021385193,0.06191501021385193
1,METFORMINA 850MG,2026-01-11,0.0,0.17376622557640076,-0.17376622557640076,0.17376622557640076
1,PARACETAMOL 500MG,2026-01-11,0.0,0.1048443466424942,-0.1048443466424942,0.1048443466424942
1,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.8486142754554749,-0.8486142754554749,0.8486142754554749
2,AMOXICILINA 500MG,2026-01-11,0.0,0.1470392644405365,-0.1470392644405365,0.1470392644405365
2,AZITROMICINA 500MG,2026-01-11,0.0,0.03681054711341858,-0.03681054711341858,0.03681054711341858
2,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.03681054711341858,-0.03681054711341858,0.03681054711341858
2,ENALAPRIL 10MG,2026-01-11,0.0,0.14403799176216125,-0.14403799176216125,0.14403799176216125
2,IBUPROFENO TABX800,2026-01-11,0.0,0.03681054711341858,-0.03681054711341858,0.03681054711341858
2,METFORMINA 850MG,2026-01-11,0.0,0.08085409551858902,-0.08085409551858902,0.08085409551858902
2,PARACETAMOL 500MG,2026-01-11,0.0,0.1470392644405365,-0.1470392644405365,0.1470392644405365
2,VITAMINA C+ZINC+D3,2026-01-11,1.0,1.1143707036972046,-0.11437070369720459,0.11437070369720459
3,AMOXICILINA 500MG,2026-01-11,0.0,0.25466957688331604,-0.25466957688331604,0.25466957688331604
3,AZITROMICINA 500MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
3,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
3,ENALAPRIL 10MG,2026-01-11,0.0,0.0865369662642479,-0.0865369662642479,0.0865369662642479
3,IBUPROFENO TABX800,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
3,LOPERAMIDA 2MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
3,LORATADINA 10MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
3,LOSARTAN 50MG,2026-01-11,1.0,0.09617717564105988,0.9038228243589401,0.9038228243589401
3,METFORMINA 850MG,2026-01-11,0.0,0.14518111944198608,-0.14518111944198608,0.14518111944198608
3,PARACETAMOL 500MG,2026-01-11,0.0,0.08770599216222763,-0.08770599216222763,0.08770599216222763
3,VITAMINA C+ZINC+D3,2026-01-11,0.0,1.2905791997909546,-1.2905791997909546,1.2905791997909546
4,AMOXICILINA 500MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
4,AZITROMICINA 500MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
4,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
4,ENALAPRIL 10MG,2026-01-11,0.0,0.13961350917816162,-0.13961350917816162,0.13961350917816162
4,IBUPROFENO TABX800,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
4,LOPERAMIDA 2MG,2026-01-11,0.0,0.028878463432192802,-0.028878463432192802,0.028878463432192802
