Modelo,Tipo_demanda,Peso,Contribucion_MAE,Contribucion_MSE
Regresión Lineal,cero,0.8765969802555168,0.10982136510933949,0.06169765685160558
Random Forest,cero,0.8765969802555168,0.1061720690619542,0.07687241986644465
XGBoost,cero,0.8765969802555168,0.10170143647346555,0.06993296931724498
ARIMA (Optimizado ADF/AIC),cero,0.8765969802555168,0.10915448847206904,0.09652702882190636
Regresión Lineal,positiva,0.12340301974448316,0.12076954085722602,0.22951891514493514
Random Forest,positiva,0.12340301974448316,0.12085798735000688,0.22419746894228887
XGBoost,positiva,0.12340301974448316,0.12348319459263059,0.23135539667063845
ARIMA (Optimizado ADF/AIC),positiva,0.12340301974448316,0.1271785397590342,0.23950608460550887
