Modelo,MAE,RMSE,R2,Best Params,CV neg_MSE
Regresión Lineal,0.21262153005442033,0.5064960158764832,0.32647177215443346,{},
XGBoost,0.20557451525296505,0.5140151778144718,0.3063256739900365,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",-0.22442686983335566
Random Forest,0.20719709307707393,0.5174821700338345,0.2969365577124059,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",-0.23944511112367564
