codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc,dia
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.4,2025-02-17 17:23:02,1,2,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-02-17
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-02-17 17:28:07,1,2,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-02-17
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.12,2026-06-29 11:03:05,1,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2026-06-29
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.12,2026-06-29 11:04:07,1,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2026-06-29
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.12,2026-06-29 11:05:18,1,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2026-06-29
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,2.0,0.0,50.0,2025-10-15 10:09:59,2,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-15
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-2.0,0.0,-50.0,2025-10-15 10:10:22,2,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-15
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,2.0,0.0,50.0,2025-10-15 10:11:57,2,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-15
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,2.5,2025-10-15 17:58:09,2,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-15
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,2.5,2025-12-13 13:28:27,2,12,Verano,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-12-13
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,1.0,0.0,25.0,2025-12-13 15:15:50,2,12,Verano,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-12-13
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-1.0,0.0,-25.0,2025-12-13 17:23:41,2,12,Verano,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-12-13
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,1.0,0.0,23.88,2025-12-13 17:41:34,2,12,Verano,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-12-13
100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,-1.0,0.0,-10.0,2024-04-24 12:00:00,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media),2024-04-24
100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,1.0,0.0,10.0,2024-04-24 13:40:12,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media),2024-04-24
100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,0.0,10.0,1.0,2024-04-24 17:54:54,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media),2024-04-24
100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,0.0,4.0,0.4,2024-04-24 19:24:12,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media),2024-04-24
100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,0.0,10.0,1.0,2024-04-24 21:22:30,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media),2024-04-24
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,1.0,0.0,10.0,2025-03-02 19:26:14,2,3,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-03-02
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,1.0,0.0,10.0,2025-03-02 19:29:10,2,3,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-03-02
